wine,color,acidity,body,tannin,tasting_notes,food_pairings,,,,,,,,,
Agiorgitiko,3.5,2.5,2.5,2.5,plum  /  raspberry  /  black pepper,lamb  /  beef  /  stew,,,,,,,,,color
Aglianico,4.5,3,2.5,2.5,blackberry  /  plum   /  chocolate,pizza  /  pasta  /  lamb,,,,,,,,,inky purple
Alicante Bouschet,2,2,2,2,raspberry  /  cherry   /  plum,pork  /  lamb  /  kebabs,,,,,,,,,red violet
Amarone,2,2,3,2.5,plum  /  cassis  /  licorice,truffles  /  grilled meats  /  cheese,,,,,,,,,light red
Baco Noir,3,2,2,2,cherry  /  dried herbs   /  cedar,sausage  /  chili  /  stew,,,,,,,,,ruby
Barbera,3.5,2,1.5,2,cherry  /  raspberry   /   plum,pasta  /  chicken  /  pizza,,,,,,,,,black cherry
Bikaver,2,2.5,2.5,2.5,cherry  /  plum  /  dried herbs,stew  /  pork  /  beef,,,,,,,,,
Blaufrankisch,3,2.5,2.5,2.5,plum  /  raspberry  /  black pepper,grilled meat  /  lamb  /  stew,,,,,,,,,
Bogazkere,4,2.5,2.5,2.5,cherry  /  clove  /  licorice,cheese  /  lamb  /  stew,,,,,,,,,
Bordeaux,2,2.5,2.5,2.5,blackberry  /  cherry  /  vanilla,chicken  /  burger  /  pasta,,,,,,,,,
Cabernet Franc,4,2.5,2.5,2.5,raspberry  /  plum   /  cherry,stew  /  pork  /  barbecue,,,,,,,,,
Cabernet Sauvignon,3,2.5,3,3,cherry  /  cassis  /  vanilla,steak  /  tuna  /  mushroom,,,,,,,,,
Carinena,1.5,3,2.5,3,cherry  /  raspberry  /  smoke,duck  /  pork  /  beef,,,,,,,,,
Carmenere,4.5,1.5,2,2,raspberry  /  black pepper   /  green bell pepper,barbecue  /  grilled vegetables  /  chicken,,,,,,,,,
Chianti,5,3,2.5,2.5,cherry  /  plum  /  dried herbs,pizza  /  pasta  /  cheese,,,,,,,,,
Cinsaut,5,1.5,1.5,1,strawberry  /  raspberry  /  dried herbs,lamb  /  veal  /  curry,,,,,,,,,
Dolcetto,1,1.5,1.5,2,plum  /  cherry  /  anise,pizza  /  pasta  /  cheese,,,,,,,,,
