source,target,weight
0,1,27
0,2,27
0,3,24
0,4,24
0,5,24
0,6,24
0,7,19
0,8,16
0,9,16
0,10,16
0,11,15
0,12,14
0,13,8
0,14,6
0,15,6
0,16,2
0,17,1
0,18,1
0,19,1
0,20,1
1,2,40
1,3,24
3,11,15
3,16,1
3,17,1
3,18,1
8,9,18
4,5,24
4,6,24
4,7,19
5,6,24
7,3,18
7,1,18
7,13,5
8,9,18
8,12,14
8,10,16
8,13,8
8,14,6
8,15,6
8,3,14
8,16,1
9,12,14
9,10,16
9,13,8
9,14,6
9,15,6
9,16,1
9,3,14
9,1,14
10,8,17
10,9,17
10,3,14
10,1,14
10,7,14
11,1,12
11,16,1
12,8,14
12,9,14
12,13,8
12,14,6
12,15,6
13,14,6
13,15,6
13,16,1
14,15,6
16,17,25
16,18,12
16,19,5
16,20,5
17,18,12
17,3,1
17,19,5
17,20,5
18,3,1
18,19,5
18,20,5
19,20,5
